"ID","Role","SystemID","timestamp"
1975,Κοστούμι,2,2021-05-08 17:22:41.000
1976,Ακουστική Περιγραφή παράστασης στην ελληνική και αγγλική γλώσσα για τυφλά άτομα ή άτομα με μειωμένη όραση,2,2021-05-08 17:22:42.000
1977,Διερμηνεία στην Ελληνική Νοηματική Γλώσσα,2,2021-05-08 17:22:43.000
2330,Graphics design,2,2021-10-09 11:56:35.000
1978,Δημιουργία υποτίτλων (αγγλικοί-ελληνικοί),2,2021-05-08 17:22:43.000
1979,Μετάφραση υποτίτλων,2,2021-05-08 17:22:44.000
1980,Χειριστής φωτισμού-ήχου,2,2021-05-08 17:22:44.000
1981,Επιμέλεια / Κατασκευή σκηνικών & φιγουρών,2,2021-05-08 17:23:01.000
1982,Βοηθοί σκηνής,2,2021-05-08 17:23:03.000
1983,Δημόσιες σχέσεις / Επικοινωνία,2,2023-09-25 13:21:50.000
1984,Σενάριο / Σκηνοθεσία,2,2023-09-25 13:21:50.000
1985,Οργάνωση / Εκτέλεση Παραγωγής,2,2023-09-25 13:21:50.000
1986,Κατασκευή Μάσκας,2,2023-09-25 13:21:50.000
1987,Κατασκευή Σκηνικών Αντικειμένων / Φωτογραφία,2,2023-09-25 13:21:50.000
1988,Επεξεργασία κειμένου-σχεδιασμός φωτισμών και σκηνοθεσία,2,2021-05-08 17:25:11.000
1989,Ενορχήστρωση-μουσική διδασκαλία,2,2021-05-08 17:25:12.000
1990,Σκηνικό-κοστούμια,2,2021-05-08 17:28:03.000
1991,Σύνθεση,2,2021-06-08 18:21:49.000
1992,Φωτογραφίες-Video-Artwork,2,2021-06-08 18:21:58.000
1993,"Σύλληψη ιδέας, κείμενα, video, μουσικές επιλογές",2,2021-06-08 18:22:26.000
1994,Ενδυματολογική επιμέλεια,2,2021-06-08 18:22:28.000
1995,Σκηνοθεσία video,2,2021-06-08 18:22:29.000
1996,Ενορχηστρώσεις - διεύθυνση ορχήστρας,2,2021-06-08 18:22:30.000
1997,Μουσική τραγουδιού έναρξης,2,2021-06-08 18:22:31.000
1998,Στίχοι τραγουδιών,2,2021-06-08 18:22:31.000
1999,Σύλληψη σκηνικού χώρου,2,2021-06-08 18:22:50.000
2000,Διαμόρφωση σκηνικού χώρου,2,2021-06-08 18:22:51.000
2001,Βοηθός Σκηνοθετών,2,2021-06-08 18:22:53.000
2002,Αγωγή Λόγου,2,2021-06-08 18:22:53.000
2003,Βοηθός σκηνογράφου- ενδυματολόγου,2,2021-06-08 18:23:40.000
2004,Παίζουν οι,2,2021-06-08 18:23:41.000
2005,Μετάφραση-σκηνοθεσία,2,2021-06-08 18:24:44.000
2006,Επικοινωνία-προβολή,2,2021-06-08 18:24:47.000
2007,Επικοινωνιακό υλικό,2,2021-06-08 18:24:47.000
2008,Ιδέα,2,2021-06-08 18:26:05.000
2009,Δραματουργία,2,2021-06-08 18:26:07.000
2010,Βοηθός σκηνοθέτη - κίνηση,2,2021-06-08 18:26:09.000
2011,Μετάφραση/Διασκευή/Σκηνοθεσία,2,2021-06-08 18:26:29.000
2012,Το τραγούδι της παράστασης έγραψε ο,2,2021-06-08 18:26:29.000
2013,Σκηνικά/Κουστούμια,2,2021-06-08 18:26:31.000
2014,Βοηθός σκηνογράφος,2,2021-06-08 18:26:32.000
2015,ART WORK,2,2021-06-08 18:26:33.000
2016,Φωτογράφηση,2,2021-06-08 18:26:33.000
2017,Οργάνωση περιοδείας,2,2021-06-08 18:26:35.000
2018,Μουσικοί,2,2021-06-08 18:26:51.000
2019,Χορεύουν,2,2021-06-08 18:27:22.000
2020,Διασκευή – Απόδοση,2,2023-09-25 13:21:50.000
2021,Ενδυματολόγος,2,2021-06-08 18:27:53.000
2022,Φωτισμοί – Επιμέλεια ήχου,2,2021-06-08 18:27:53.000
2023,Έναρξη παραστάσεων,2,2021-06-08 18:27:56.000
2024,Λήξη παραστάσεων,2,2021-06-08 18:27:56.000
2025,Ώρα έναρξης,2,2021-06-08 18:27:57.000
2026,Διάρκεια παράστασης,2,2021-06-08 18:27:58.000
2027,«Ο ΜΑΓΟΣ ΤΟΥ ΟΖ» κάθε ΔΕΥΤΕΡΑ 18,2,2021-06-08 18:28:17.000
2028,Επιμέλεια Μαγικών,2,2023-09-25 13:21:50.000
2029,Μετάφραση από τα ρωσικά,2,2021-06-08 18:29:04.000
2470,Σκηνοθεσία,2,2023-09-25 13:21:50.000
2030,Ερμηνεύουν οι ηθοποιοί,2,2021-06-08 18:29:08.000
2031,"Η πρώτη του επαγγελματική του εμφάνιση ήταν στο έργο του Ζ. Φεϋντώ Ράφτης Κυριών (στο ρόλο του υπηρέτη Ετιέν), το 1994. Ακολούθησαν οι θεατρικές παρασ",2,2021-06-08 18:29:09.000
